Browse,Bladeren
"The truck patch is the same as the standard patch, but it will also unlock heavy vehicle types such as truck or bus when using a TRUCK map.","De truckpatch is hetzelfde als de standaardpatch, maar het ontgrendelt ook zware voertuigtypen zoals een vrachtwagen of bus wanneer een TRUCK-kaart wordt gebruikt."
TTActivator could not start the local server. Please accept the 'User Account Control' prompt or run TTActivator as an administrator.,TTActivator kon de lokale server niet starten. Accepteer de prompt 'Gebruikersaccountbeheer' of voer TTActivator uit als beheerder.
RDS-TMC Configuration,RDS-TMC-configuratie
Expired,Verlopen
No safety cameras could be found from the TT server.,Er zijn geen flitsers gevonden op de TT-server.
This will delete all safety cameras (including licenses) from your device's internal memory. Do you wish to continue?,Hiermee worden alle flitsers (inclusief licenties) uit het interne geheugen van je apparaat verwijderd. Wilt u doorgaan?
The safety cameras have been removed from the device's internal memory.,De flitsers zijn verwijderd uit het interne geheugen van het apparaat..
For NAV3 and navcore 9.x devices (no cspeech),Voor NAV3-en navcore 9.x apparaten (geen cspeech)
The device is currently busy. Please try again in a few moments.,Het apparaat is momenteel bezet. Probeer het over enkele ogenblikken opnieuw.
TTActivator was unable to find a meta code on the device that matched the details you provided.,TTActivator kon op het apparaat geen metacode vinden die overeenkwam met de door jou opgegeven gegevens.
